date,o3,pm2.5,ws,wd,air_temp
2018/1/4 23:00,34.35961257,9.70672523,4.047307825,224.5042925,5.658287415
2018/1/5 0:00,33.30774722,9.834082143,3.931488467,220.7903239,5.510657075
2018/1/5 1:00,32.36323368,9.899318211,3.839698218,217.0014811,5.38455533
2018/1/5 2:00,31.59821814,9.941908737,3.763600284,213.2890441,5.288102832
2018/1/5 3:00,30.90945821,9.963637719,3.692662431,209.7127837,5.213956423
2018/1/5 4:00,30.04006893,10.00192391,3.611292959,206.1566118,5.148136304
2018/1/5 5:00,29.14072326,10.0372536,3.529002692,202.465728,5.082822486
2018/1/5 6:00,28.31322352,10.14671056,3.449559336,198.660427,5.012571842
2018/1/5 7:00,27.50379749,10.36591836,3.391045787,194.7405738,4.949914882
2018/1/5 8:00,26.86184985,10.55992354,3.357198247,190.7222009,4.891725035
2018/1/5 9:00,26.40888625,10.64892277,3.340157599,186.552637,4.846095003
2018/1/5 10:00,26.01970717,10.66237035,3.340510774,182.4580801,4.815082179
2018/1/5 11:00,25.6119817,10.65342173,3.333643088,178.3766213,4.785873003
2018/1/5 12:00,25.27334871,10.72214246,3.339378243,174.3952793,4.763899593
2018/1/5 13:00,25.10516142,10.75536343,3.332483286,170.5783154,4.727573053
2018/1/5 14:00,24.95713686,10.71229591,3.316901241,166.6782712,4.673733101
2018/1/5 15:00,24.9257649,10.66364077,3.318620534,162.7902549,4.608130477
2018/1/5 16:00,24.8942703,10.57140791,3.315174665,158.8813381,4.533707117
2018/1/5 17:00,24.97902088,10.50331849,3.315722128,155.0731955,4.453492197
2018/1/5 18:00,25.11089209,10.4365857,3.322490722,151.2861405,4.364455865
2018/1/5 19:00,25.101573,10.31849265,3.347061364,147.5751151,4.276369802
2018/1/5 20:00,25.15764424,10.17089059,3.378601834,143.8961091,4.188097243
2018/1/5 21:00,25.00276113,10.10790079,3.403966739,140.3398017,4.09731045
2018/1/5 22:00,24.88463074,10.00465479,3.438682734,136.8806826,4.017075203
2018/1/5 23:00,24.79767993,9.959988075,3.481737553,133.5396083,3.947182138
2018/1/6 0:00,24.6833599,9.935162842,3.529542194,130.2502985,3.886037818
2018/1/6 1:00,24.52186484,9.946781535,3.595774097,127.1458953,3.825494318
2018/1/6 2:00,24.354012,9.899882953,3.642808698,124.0576297,3.759162306
2018/1/6 3:00,24.17985685,9.837740765,3.680909921,121.0523437,3.688861354
2018/1/6 4:00,23.98174919,9.834561513,3.72947122,118.1216123,3.614124795
2018/1/6 5:00,23.81463448,9.846724281,3.777038717,115.2598908,3.537161795
2018/1/6 6:00,23.61988182,9.843517758,3.802907892,112.2588047,3.456401952
2018/1/6 7:00,23.44424471,9.892989351,3.821283151,109.1575692,3.37274743
2018/1/6 8:00,23.3096499,9.897078557,3.83704949,106.0447429,3.289779609
2018/1/6 9:00,23.20832679,9.917172771,3.852607481,103.0314444,3.204926833
2018/1/6 10:00,23.0907064,9.86038834,3.868860981,100.1441613,3.118195877
2018/1/6 11:00,22.99146707,9.840214683,3.893851199,97.51215921,3.055957477
2018/1/6 12:00,22.93532907,9.843040591,3.918163185,95.16178664,3.017385184
2018/1/6 13:00,22.83397652,9.912184112,3.936361434,92.54118765,2.975829792
2018/1/6 14:00,22.95038492,9.889496391,3.946983107,89.90504625,2.919669557
2018/1/6 15:00,23.12449046,9.855644786,3.951347062,87.17249199,2.865847222
2018/1/6 16:00,23.28477891,9.890488499,3.949885239,84.6415681,2.828622923
2018/1/6 17:00,23.43072963,9.852788388,3.929594535,82.16863078,2.798042886
2018/1/6 18:00,23.42218203,9.845012442,3.906402376,79.01274055,2.767729636
2018/1/6 19:00,23.13216004,9.783619628,3.885944315,75.3942828,2.737764479
2018/1/6 20:00,22.60437859,9.815368953,3.862690668,71.99380275,2.708843602
2018/1/6 21:00,21.96384415,9.840320551,3.864596627,69.66758667,2.702741213
2018/1/6 22:00,21.30405142,9.940054272,3.878563891,67.32228796,2.714172224
2018/1/6 23:00,20.74299144,9.949503268,3.905577454,65.16872496,2.739529676
2018/1/7 0:00,20.40830851,9.953263353,3.948915321,63.27521051,2.774909335
2018/1/7 1:00,20.18792896,10.08517512,3.991720123,61.21924829,2.806178783
2018/1/7 2:00,20.00969051,10.18538296,4.029433785,59.26911896,2.833459979
2018/1/7 3:00,19.98033095,10.16950195,4.064828689,57.43191821,2.85138348
2018/1/7 4:00,19.88683445,10.2083495,4.10067044,55.76078979,2.856934679
2018/1/7 5:00,19.63965147,10.23160822,4.150424742,54.53299213,2.856011681
2018/1/7 6:00,19.33205609,10.23784291,4.196098476,53.64498839,2.850823651
2018/1/7 7:00,19.04727918,10.24471618,4.221761166,52.97414997,2.842170273
2018/1/7 8:00,18.76683523,10.29321735,4.228615808,52.35597357,2.827269848
2018/1/7 9:00,18.59745462,10.46084247,4.225118614,51.72705659,2.801150148
2018/1/7 10:00,18.43263403,10.52875267,4.214073301,51.16080707,2.767857524
2018/1/7 11:00,18.33714479,10.67233209,4.191302242,50.61021209,2.727441946
2018/1/7 12:00,18.20471453,10.8663913,4.167970675,50.36436575,2.705791391
2018/1/7 13:00,18.01692945,11.08001115,4.155183541,50.72224358,2.698773119
2018/1/7 14:00,17.84365558,11.32424101,4.150201318,51.27149514,2.693778531
2018/1/7 15:00,17.68435216,11.57709309,4.152060018,51.90258639,2.697222368
2018/1/7 16:00,17.31483848,11.84092781,4.153449511,52.170522,2.704204391
2018/1/7 17:00,16.96435563,12.12171069,4.138837216,52.05286377,2.723312933
2018/1/7 18:00,16.65021106,12.38533011,4.119959889,52.08275083,2.761238162
2018/1/7 19:00,16.45847546,12.68031317,4.106743354,52.3417446,2.812078752
2018/1/7 20:00,16.2155767,12.92197985,4.095218333,52.8712082,2.870252677
2018/1/7 21:00,15.96790695,13.11610918,4.095524079,53.64193465,2.940517041
2018/1/7 22:00,15.92790293,13.24912181,4.118532452,54.8012838,3.037093023
2018/1/7 23:00,15.88152217,13.33985389,4.16433814,56.27450517,3.149626922
2018/1/8 0:00,15.9575375,13.47991459,4.212497311,58.14137974,3.267267883
2018/1/8 1:00,16.099575,13.6032382,4.256425836,60.44704731,3.385890788
2018/1/8 2:00,16.33874255,13.64652169,4.281061524,63.1901836,3.502042317
2018/1/8 3:00,16.73238129,13.71844369,4.290751729,66.16136825,3.616033464
2018/1/8 4:00,17.11477823,13.76395346,4.285271335,69.16848392,3.71545585
2018/1/8 5:00,17.43181787,13.77654122,4.278585911,72.19700606,3.80116607
2018/1/8 6:00,17.65382329,13.75543559,4.267705413,75.26184644,3.876688083
2018/1/8 7:00,17.72648511,13.69276271,4.252221614,78.33608906,3.958656512
2018/1/8 8:00,17.72175071,13.5915941,4.226557569,81.45276383,4.031566894
2018/1/8 9:00,17.68212375,13.53785273,4.195154474,84.79865319,4.109781167
2018/1/8 10:00,17.59780962,13.48930973,4.156300488,87.23784426,4.185548793
2018/1/8 11:00,17.45779792,13.50057829,4.109777102,89.30785573,4.253089561
2018/1/8 12:00,17.29248536,13.63171646,4.074226361,91.7400912,4.289188951
2018/1/8 13:00,17.10250524,13.80975898,4.039831696,94.82412684,4.350500628
2018/1/8 14:00,16.87371644,14.01715177,3.997297407,97.21321891,4.402390918
2018/1/8 15:00,16.62655262,14.19859272,3.95200395,99.73921241,4.451103481
2018/1/8 16:00,16.35326138,14.38113013,3.904473888,101.9538425,4.486396582
2018/1/8 17:00,16.0486213,14.50671947,3.851151249,104.6731164,4.513987929
2018/1/8 18:00,15.71863361,14.6217073,3.786979956,107.334073,4.531265213
2018/1/8 19:00,15.36888899,14.75306703,3.717227822,110.1071072,4.534315899
2018/1/8 20:00,14.98045928,15.10369809,3.646749351,112.8994498,4.524073487
2018/1/8 21:00,14.58053894,15.42301396,3.568202229,115.5978632,4.506626646
2018/1/8 22:00,14.16236972,15.75185455,3.49191204,118.3011147,4.488880495
2018/1/8 23:00,13.74743517,16.06707834,3.41104887,121.2362064,4.481148589
2018/1/9 0:00,13.33207113,16.42807732,3.331184584,124.3418271,4.488389438
2018/1/9 1:00,12.9007518,16.72869559,3.251230692,127.5938187,4.512282696
2018/1/9 2:00,12.52379898,16.92784119,3.178835251,130.8062137,4.54151169
2018/1/9 3:00,12.11001164,17.13905403,3.11013485,133.8261885,4.556710239
2018/1/9 4:00,11.6367723,17.2783757,3.037500064,141.2733625,4.577617348
2018/1/9 5:00,11.19810732,17.37736022,2.969783471,144.3187769,4.594619714
2018/1/9 6:00,10.7338367,17.49831425,2.910412139,147.638502,4.625801927
2018/1/9 7:00,10.26590403,17.64193076,2.862927473,150.9234014,4.66011139
2018/1/9 8:00,9.816749945,17.75071558,2.818747914,154.1381844,4.681803784
2018/1/9 9:00,9.354707832,17.89078357,2.78397653,161.6540134,4.702202558
2018/1/9 10:00,8.942094241,18.00298564,2.747258533,168.7292642,4.716449821
2018/1/9 11:00,8.577411673,18.17151953,2.719667524,175.1143215,4.724127184
2018/1/9 12:00,8.228496356,18.34637602,2.686084399,181.6807251,4.731941751
2018/1/9 13:00,7.851093703,18.47728907,2.645652899,187.7301938,4.727634202
2018/1/9 14:00,7.531354604,18.55818375,2.611512656,189.5493589,4.716604642
2018/1/9 15:00,7.25865174,18.68749354,2.577785043,191.7924172,4.709618385
2018/1/9 16:00,7.013654046,18.81500578,2.543657673,193.6673853,4.700389424
2018/1/9 17:00,6.81223826,18.93020941,2.510594232,199.4186514,4.68779878
2018/1/9 18:00,6.656577265,19.02508745,2.475098034,204.379173,4.676877121
2018/1/9 19:00,6.470082573,19.17504044,2.433669005,209.2160004,4.668887406
2018/1/9 20:00,6.220241681,19.28149888,2.392620253,213.6543009,4.661429063
2018/1/9 21:00,5.917388798,19.33545571,2.35707561,217.6160231,4.659548004
2018/1/9 22:00,5.639678072,19.46014357,2.337435188,221.4641615,4.671293738
2018/1/9 23:00,5.389866863,19.51667697,2.321687651,224.9236929,4.690259825
2018/1/10 0:00,5.118276576,19.60369724,2.3092459,228.4339471,4.714807092
2018/1/10 1:00,4.890342585,19.63933996,2.294767421,231.2966856,4.739222914
2018/1/10 2:00,4.746429059,19.70857106,2.280817943,233.966517,4.75717809
2018/1/10 3:00,4.697044726,19.76035074,2.259420793,236.7715177,4.764404371
2018/1/10 4:00,4.733725485,19.77438576,2.230131327,239.4218243,4.757500097
2018/1/10 5:00,4.8202965,19.76952634,2.201738603,241.7781062,4.745552621
2018/1/10 6:00,4.742260623,19.81964144,2.17212154,244.1100251,4.729319279
2018/1/10 7:00,4.60828647,19.8281737,2.145202834,246.3378832,4.709861457
2018/1/10 8:00,4.412054074,19.84316306,2.113689298,248.3179386,4.686065259
2018/1/10 9:00,4.161218768,19.91753442,2.074152846,250.1645971,4.666532567
2018/1/10 10:00,3.990844736,19.95571423,2.033956118,251.7280045,4.6388362
2018/1/10 11:00,3.91410845,20.01784728,1.992808613,253.1537424,4.604442382
2018/1/10 12:00,3.895115035,20.00663478,1.965300944,254.5568561,4.561652655
2018/1/10 13:00,3.859231237,19.9449557,1.9350773,255.6763457,4.516099018
2018/1/10 14:00,3.897617835,19.90101582,1.907120074,256.6490127,4.473881994
2018/1/10 15:00,4.053713182,19.81917613,1.895863873,257.6236649,4.440225354
2018/1/10 16:00,4.246011657,19.78959176,1.883508509,258.4236045,4.410543076
2018/1/10 17:00,4.525592545,19.71706572,1.870188648,259.1321692,4.379946778
2018/1/10 18:00,4.889058295,19.67305978,1.860686802,259.7634179,4.347319174
2018/1/10 19:00,5.232251176,19.55387874,1.856997014,260.3312261,4.315312378
2018/1/10 20:00,5.600675986,19.44823082,1.852689296,260.8207242,4.282908197
2018/1/10 21:00,5.882718293,19.31950457,1.84887416,261.19808,4.251465295
2018/1/10 22:00,6.132573364,19.18313738,1.841696663,261.5658592,4.223634094
2018/1/10 23:00,6.293355872,19.1113912,1.831168662,261.9425453,4.204344475
2018/1/11 0:00,6.400965553,19.0709763,1.82582344,262.1956281,4.201591913
2018/1/11 1:00,6.484330737,19.01329056,1.825257852,262.273665,4.195323185
2018/1/11 2:00,6.682798675,18.88198334,1.820234806,262.2402767,4.201711162
2018/1/11 3:00,6.893083097,18.81535947,1.824145478,262.173694,4.222428895
2018/1/11 4:00,7.095678765,18.77320241,1.832039657,261.853717,4.243196767
2018/1/11 5:00,7.278768092,18.66850069,1.834992776,261.3949068,4.264048655
2018/1/11 6:00,7.452975774,18.56390535,1.836476957,260.7800025,4.287501165
2018/1/11 7:00,7.665391661,18.45639535,1.842749412,260.0584615,4.311011435
2018/1/11 8:00,7.871222193,18.28924536,1.852834292,259.2436731,4.333432539
2018/1/11 9:00,8.015420978,18.22473664,1.86565666,258.3234657,4.356098577
2018/1/11 10:00,8.161361416,18.25973704,1.882316861,257.2308031,4.381432146
2018/1/11 11:00,8.29005604,18.33297705,1.899838403,255.9470124,4.405914537
2018/1/11 12:00,8.378625957,18.38227434,1.90878601,254.7813513,4.414770673
2018/1/11 13:00,8.57702154,18.35328216,1.913409468,253.2210889,4.405059125
2018/1/11 14:00,8.74879673,18.34690061,1.919552679,251.6524909,4.400064876
2018/1/11 15:00,8.933327859,18.34184657,1.931873657,250.0968284,4.407360606
2018/1/11 16:00,9.031247334,18.34254293,1.945423886,248.968365,4.419555728
2018/1/11 17:00,9.158165506,18.29700335,1.963111259,243.5676409,4.423697953
2018/1/11 18:00,9.292208508,18.34260899,1.978808149,242.4880935,4.4201203
2018/1/11 19:00,9.436294276,18.4759919,1.98706211,240.9945215,4.411944258
2018/1/11 20:00,9.596908842,18.62920562,1.991044602,239.0133524,4.392987148
2018/1/11 21:00,9.79034161,18.73664228,2.009117334,233.0329117,4.352243804
2018/1/11 22:00,9.966619824,18.84464131,2.016912082,229.9861261,4.29320549
2018/1/11 23:00,10.15832585,18.9224787,2.024783225,227.3116844,4.203474327
2018/1/12 0:00,10.31978608,19.08832168,2.027790717,224.137732,4.097699874
2018/1/12 1:00,10.39373607,19.25806653,2.021091912,220.7001801,3.991965905
2018/1/12 2:00,10.40412106,19.47286346,2.018388811,217.2839159,3.901637139
2018/1/12 3:00,10.42163544,19.70655449,2.020000711,213.8531553,3.84324572
2018/1/12 4:00,10.43324584,19.97086603,2.020307305,210.2392388,3.810217004
2018/1/12 5:00,10.45948117,20.20964142,2.015183304,206.1858633,3.775219824
2018/1/12 6:00,10.46160578,20.42482371,2.004534698,201.9740019,3.739442441
2018/1/12 7:00,10.43749068,20.63101943,1.985573016,197.6570258,3.704953257
2018/1/12 8:00,10.40761629,20.87017696,1.960193035,193.1785536,3.66865365
2018/1/12 9:00,10.37742312,21.0760666,1.945944925,188.8013455,3.632709419
2018/1/12 10:00,10.39585406,21.27708259,1.935787038,184.6255545,3.603363208
2018/1/12 11:00,10.37324829,21.54722025,1.925777027,180.5396838,3.58210394
2018/1/12 12:00,10.32600512,21.80359832,1.918797376,176.6609046,3.580717496
2018/1/12 13:00,10.21025773,22.02347063,1.896180629,172.1339541,3.552817354
2018/1/12 14:00,10.07958173,22.2006496,1.870707993,167.6316714,3.521174912
2018/1/12 15:00,9.9345427,22.38505892,1.838194895,163.1933171,3.49220559
2018/1/12 16:00,9.812933538,22.57889318,1.799096143,158.8840919,3.463070776
2018/1/12 17:00,9.913758101,22.74216451,1.761191919,155.0936515,3.439347414
2018/1/12 18:00,10.25940237,22.87844667,1.734266438,151.9329948,3.415186522
2018/1/12 19:00,10.76180533,22.98395468,1.710948423,148.9823838,3.381527172
2018/1/12 20:00,11.2180829,23.0395893,1.690279813,146.0744098,3.343964266
2018/1/12 21:00,11.55053735,23.121678,1.699428483,143.0954675,3.29995579
2018/1/12 22:00,11.95995791,23.17542241,1.712303531,140.1273708,3.253500667
2018/1/12 23:00,12.46270462,23.25525502,1.726166451,137.240432,3.208275134
2018/1/13 0:00,13.0505769,23.25788105,1.743235726,134.3913058,3.177254518
2018/1/13 1:00,13.66701548,23.20868302,1.765728142,131.6371919,3.15724466
2018/1/13 2:00,14.40239069,23.18359049,1.791002593,129.0847305,3.143969686
2018/1/13 3:00,14.99874131,23.1864037,1.82355194,126.7688618,3.148614318
2018/1/13 4:00,15.75571373,23.09206466,1.861415342,124.5595785,3.167186576
2018/1/13 5:00,16.42238834,22.94025381,1.905218858,122.6549156,3.190069094
2018/1/13 6:00,16.97455262,22.80222627,1.957767223,121.0438747,3.214309937
2018/1/13 7:00,17.56653798,22.67360742,1.99649061,119.7748839,3.24657217
2018/1/13 8:00,17.98690831,22.55998909,2.040094587,118.9626046,3.284382554
2018/1/13 9:00,18.27093672,22.51724442,2.089102732,118.4825255,3.326566377
2018/1/13 10:00,18.52166344,22.49025085,2.123827705,118.2009177,3.361354701
2018/1/13 11:00,18.75390677,22.41719903,2.129666864,118.1859824,3.378979231
2018/1/13 12:00,18.9321297,22.30059438,2.167350036,118.6861234,3.383551534
2018/1/13 13:00,18.96322748,22.16108453,2.191025291,119.3337003,3.412137022
2018/1/13 14:00,19.00344781,22.05098254,2.211719649,119.2908552,3.431442055
2018/1/13 15:00,19.06288992,21.94433641,2.237297136,119.8851248,3.456857776
2018/1/13 16:00,19.16647703,21.84606062,2.264308497,120.7545012,3.491686076
2018/1/13 17:00,19.36233116,21.68515429,2.291887987,121.9629959,3.529215782
2018/1/13 18:00,19.74655002,21.57441218,2.33452628,123.181131,3.570388865
2018/1/13 19:00,20.19933929,21.51026799,2.387766257,124.7201837,3.619824378
2018/1/13 20:00,20.58846399,21.40165662,2.447881713,126.6963456,3.673625032
2018/1/13 21:00,20.87831974,21.16609538,2.488046257,128.7484388,3.715127406
2018/1/13 22:00,21.10580616,20.90195356,2.531537759,131.2427128,3.75039205
2018/1/13 23:00,21.35945168,20.69363353,2.572642748,134.0842692,3.784179288
2018/1/14 0:00,21.70411634,20.45435693,2.621716447,137.0269883,3.823624608
2018/1/14 1:00,21.9781872,20.1436802,2.681267839,140.2289356,3.86848748
2018/1/14 2:00,22.24770943,19.83159688,2.752996228,143.6860395,3.918696928
2018/1/14 3:00,22.5199238,19.62407484,2.827501063,147.5828789,3.971502764
