,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
127,1.818,443.902,139.729,283.463,1.065,16.148,4.735,104.216,110.224
128,1.074,445.848,229.247,249.83,1.884,0.545,5.14,99.6467,96.264
129,2.363,447.756,238.162,252.604,2.321,0.671,2.312,97.24,95.2006
130,6.396,449.624,250.396,273.751,3.733,2.2623333333333333,3.213,104.216,110.224
131,9.264,451.452,254.53,289.823,3.625,3.8536666666666664,3.468,99.6467,96.264
132,10.125,453.24,196.276,328.878,2.703,5.445,4.573,97.24,95.2006
133,6.984,454.988,179.557,307.045,1.403,3.685,4.071,104.216,110.224
134,5.238,456.695,247.332,273.764,1.862,3.0343999999999998,2.132,99.6467,96.264
135,2.621,458.361,236.477,275.136,1.303,2.3838,2.634,97.24,95.2006
136,3.789,459.986,259.027,266.979,1.669,1.7331999999999999,1.12,104.216,110.224
137,8.734,461.569,257.259,285.727,2.988,1.0825999999999998,1.889,99.6467,96.264
138,8.945,463.11,238.025,307.098,2.068,0.432,1.161,97.24,95.2006
139,9.227,464.608,219.462,310.797,1.893,0.562,2.699,104.216,110.224
140,5.776,466.064,256.859,280.928,1.887,0.121,2.679,99.6467,96.264
141,6.282,467.475,252.748,280.63,2.157,0.14933333333333332,1.236,97.24,95.2006
142,9.385,468.844,271.479,287.401,2.985,0.17766666666666667,1.289,104.216,110.224
143,12.001,470.169,275.969,297.189,3.759,0.206,1.985,99.6467,96.264
144,12.38,471.45,264.835,305.872,3.399,0.23433333333333334,1.77,97.24,95.2006
145,12.669,472.686,256.387,315.499,4.013,0.26266666666666666,2.412,104.216,110.224
146,10.807,473.878,139.503,337.724,2.389,0.291,3.781,99.6467,96.264
147,11.958,475.025,216.348,342.367,2.705,0.12,2.756,97.24,95.2006
148,14.416,476.126,231.289,341.067,3.174,2.905333333333334,3.694,104.216,110.224
149,17.577,477.182,246.475,348.912,5.997,5.690666666666668,5.216,99.6467,96.264
150,13.193,478.193,93.638,364.504,2.159,8.476,2.204,97.24,95.2006
151,8.869,479.157,18.405,358.033,0.085,15.698,2.567,104.216,110.224
152,7.032,480.076,192.312,315.333,1.481,4.285,4.916,99.6467,96.264
153,11.886,480.948,233.652,329.992,3.161,3.51,6.982,97.24,95.2006
154,7.871,481.773,161.744,299.931,1.187,5.52,2.542,104.216,110.224
155,8.971,482.552,281.021,276.716,3.417,5.868222222222222,1.226,99.6467,96.264
156,11.559,483.283,267.961,303.223,3.55,6.216444444444444,1.428,97.24,95.2006
157,12.328,483.969,281.755,302.067,3.282,6.564666666666667,1.478,104.216,110.224
158,12.487,484.606,277.576,308.901,2.889,6.912888888888888,1.238,99.6467,96.264
159,12.389,485.196,273.709,313.581,2.852,7.261111111111111,1.375,97.24,95.2006
160,14.898,485.737,251.637,335.033,4.177,7.609333333333334,3.839,104.216,110.224
161,14.767,486.233,266.815,331.645,3.916,7.9575555555555555,2.938,99.6467,96.264
162,15.804,486.68,243.573,349.349,3.789,8.305777777777777,1.489,97.24,95.2006
163,14.657,487.078,116.764,371.139,1.818,8.654,1.868,104.216,110.224
164,7.692,487.43,62.574,341.64,0.4,12.185,2.608,99.6467,96.264
165,10.616,487.733,279.652,294.356,3.305,8.189333333333334,1.473,97.24,95.2006
166,13.704,487.987,272.137,314.894,4.202,4.193666666666667,2.036,104.216,110.224
167,14.544,488.194,235.39,343.142,2.861,0.198,2.503,99.6467,96.264
168,14.61,488.353,186.505,359.334,2.126,0.133,5.708,97.24,95.2006
169,16.47,488.463,197.252,368.576,3.286,0.068,3.871,104.216,110.224
170,16.242,488.526,166.807,375.225,2.442,0.319,2.037,99.6467,96.264
171,13.636,488.539,179.072,367.568,1.316,0.222,2.605,97.24,95.2006
172,13.392,488.505,256.159,337.015,2.413,0.127,1.978,104.216,110.224
173,15.914,488.423,248.05,354.98,2.967,0.6014285714285714,1.602,99.6467,96.264
174,16.532,488.293,272.17,342.682,3.755,1.0758571428571426,2.893,97.24,95.2006
175,15.058,488.115,254.473,342.496,3.614,1.550285714285714,2.675,104.216,110.224
176,14.355,487.888,165.896,360.95,2.662,2.0247142857142855,2.368,99.6467,96.264
177,12.896,487.613,187.426,346.993,2.385,2.499142857142857,2.686,97.24,95.2006
178,11.619,487.291,262.757,318.459,2.495,2.973571428571428,2.932,104.216,110.224
179,10.122,486.922,93.007,345.684,1.269,3.448,2.341,99.6467,96.264
180,9.202,486.506,125.577,340.789,1.657,0.734,2.228,97.24,95.2006
181,11.904,486.041,182.147,342.017,2.959,2.7349,1.74,104.216,110.224
182,12.356,485.53,218.717,331.013,2.914,4.7358,1.506,99.6467,96.264
183,12.786,484.972,222.425,327.583,3.018,6.736700000000001,0.94,97.24,95.2006
184,14.553,484.366,268.077,315.536,3.801,8.7376,2.164,104.216,110.224
185,14.845,483.715,267.05,314.473,4.134,10.7385,1.864,99.6467,96.264
186,14.717,483.016,228.818,326.151,3.907,12.739400000000002,1.314,97.24,95.2006
187,15.563,482.272,279.728,313.177,4.529,14.740300000000001,1.824,104.216,110.224
188,15.459,481.481,281.367,310.813,4.463,16.7412,1.664,99.6467,96.264
189,16.602,480.646,278.019,323.903,5.423,18.7421,1.828,97.24,95.2006
190,15.037,479.763,150.934,361.552,2.979,20.743,5.621,104.216,110.224
191,15.546,478.837,120.272,377.558,1.662,6.453,2.762,99.6467,96.264
192,15.096,477.865,149.458,370.386,0.909,6.142,1.725,97.24,95.2006
193,11.5,476.849,184.606,337.728,1.657,0.368,3.582,104.216,110.224
